id,ugb_id,rendaTipo,estadoCivil,origem,escolaridade,tipoCliente,cidade_id,Idade,rendaMedia,Aprovado
1,3,1,1,1,5,1,0,32,900,0
2,3,2,0,1,0,1,0,28,1800,1
3,3,1,2,1,2,0,0,48,2100,0
4,3,3,1,1,5,1,0,28,1810,1
5,3,3,1,1,5,1,0,42,1792,1
6,3,1,1,1,5,0,0,33,1660,0
7,3,0,0,1,0,0,0,38,1800,0
8,3,3,1,1,2,1,0,42,1846,1
9,3,2,1,1,2,1,0,42,1500,1
10,3,2,1,1,2,1,0,34,2000,0
11,3,1,1,1,5,0,0,28,1700,0
12,3,2,1,1,3,1,0,53,1500,1
13,3,2,2,1,2,1,0,30,1800,1
14,3,2,2,1,5,0,0,31,1800,0
15,3,1,3,1,5,1,0,31,1800,0
16,3,0,0,1,0,0,0,25,1800,0
17,3,2,1,1,3,1,0,36,1000,1
18,3,1,2,1,5,1,0,41,1600,0
19,3,1,1,1,2,0,0,38,1600,0
20,3,1,1,1,5,1,0,52,724,0
21,3,3,1,1,3,1,0,25,1437,1
22,3,2,1,1,5,1,0,28,1799,1
23,3,2,1,1,2,1,0,46,1800,1
24,3,3,2,1,5,1,0,27,1700,1
25,3,1,1,1,5,1,0,43,1600,1
26,3,0,0,1,0,1,0,40,1800,0
27,3,2,1,1,5,1,0,35,2000,1
28,3,1,1,1,5,1,0,32,1259,0
29,3,1,1,1,5,0,0,35,1670,0
30,3,1,1,1,3,3,0,30,1500,1
31,3,2,1,1,3,1,0,41,1600,1
32,3,1,1,1,5,1,0,34,1458,1
33,3,1,1,1,2,1,0,28,1600,1
34,3,1,1,1,2,1,0,34,1600,1
35,3,1,1,1,4,1,0,39,1640,1
36,3,1,2,1,5,1,0,28,1600,0
37,3,1,1,1,4,1,0,32,1663,1
38,3,2,2,1,2,1,0,28,2200,1
39,3,1,1,1,3,1,0,26,1700,0
40,3,3,2,1,4,1,0,48,1861,1
41,3,1,1,1,3,0,0,28,1600,0
42,3,1,1,1,4,1,0,27,1620,0
43,3,2,1,1,2,1,0,46,1600,1
44,3,1,3,1,5,0,0,29,1700,1
45,3,2,7,1,2,1,0,40,1800,1
46,3,1,1,1,5,1,0,24,1600,0
47,3,1,1,1,1,1,0,42,1600,0
48,3,3,1,1,3,1,0,27,1926,1
49,3,1,1,1,5,1,0,40,1700,0
50,3,1,2,1,2,0,0,34,1700,0
51,3,1,1,1,2,1,0,27,1600,1
52,3,2,1,1,5,1,0,27,1800,1
53,3,1,1,1,5,1,0,32,1700,1
54,3,1,1,1,4,1,0,40,1590,1
55,3,1,1,1,3,1,0,30,1620,0
56,3,3,1,1,5,1,0,28,1600,1
57,3,2,2,1,2,1,0,28,1800,1
58,3,2,1,1,5,1,0,32,1600,1
59,3,2,1,1,5,1,0,24,1530,1
60,3,1,1,1,2,1,0,37,1600,1
61,3,1,1,1,0,1,0,24,1600,1
62,3,2,2,1,2,1,0,39,2000,1
63,3,1,1,1,5,1,0,31,1620,0
64,3,3,2,1,4,1,0,44,1638,1
65,3,1,1,1,5,1,0,31,1629,1
66,3,1,1,1,4,1,0,33,1600,0
67,3,1,1,1,3,1,0,46,1620,0
68,3,1,1,1,5,1,0,30,1700,1
69,3,1,1,1,5,1,0,38,1600,0
70,3,1,2,1,3,1,0,47,1600,1
71,3,1,1,1,2,1,0,50,1600,0
72,3,1,2,1,3,1,0,42,1600,0
73,3,1,2,1,2,1,0,47,788,1
74,3,2,2,1,3,1,0,25,1600,1
75,3,2,1,1,2,1,0,47,1840,1
76,3,1,1,1,5,1,0,37,1600,1
77,3,2,7,1,5,1,0,34,1800,1
78,3,1,1,1,5,1,0,28,1700,0
79,3,1,1,1,2,1,0,32,1600,0
80,3,2,2,1,3,1,0,38,2000,1
81,3,1,1,1,2,1,0,43,2000,1
82,3,2,1,1,5,1,0,27,2100,1
83,3,1,1,1,2,1,0,44,1650,0
84,3,2,1,1,3,1,0,35,2000,0
85,3,1,1,1,2,1,0,33,1670,1
86,3,3,1,1,6,1,0,31,1635,1
87,3,2,1,1,3,1,0,41,2000,0
88,3,1,1,1,2,0,0,30,2000,0
89,3,1,1,1,2,0,0,30,1055,0
90,3,2,1,1,2,1,0,32,1700,1
91,3,2,1,1,5,1,0,24,788,0
92,3,2,1,1,5,0,0,25,1600,0
93,3,3,1,1,5,1,0,24,2000,0
94,3,2,1,1,2,0,0,35,1800,0
95,3,1,1,1,5,1,0,28,1600,1
96,3,2,1,1,2,0,0,44,788,0
97,3,1,1,1,3,1,0,32,820,0
98,3,1,2,1,5,1,0,39,1016,1
99,3,3,2,1,6,1,0,32,1680,0
100,3,2,1,1,5,1,0,24,1500,1
101,3,1,1,1,0,1,0,30,1085,0
102,3,2,2,1,4,1,0,24,937,0
103,3,3,3,1,2,1,0,45,1535,1
104,3,2,1,1,5,0,0,31,2000,1
105,3,2,1,1,5,1,0,25,2000,0
106,3,2,1,1,5,1,0,27,1700,1
107,3,1,1,1,5,1,0,34,1688,1
108,3,2,1,1,2,0,0,39,1200,0
109,3,1,1,1,5,1,0,30,1578,1
110,3,1,1,1,2,0,0,30,1200,0
111,3,1,1,1,2,1,0,36,735,0
112,3,1,2,1,4,1,0,28,1795,0
113,3,1,2,1,5,1,0,31,1800,1
114,3,2,1,1,2,1,0,47,1750,1
115,3,2,2,1,2,1,0,36,1600,0
116,3,1,3,1,2,0,0,51,930,0
117,3,2,1,1,2,1,0,46,1700,0
118,3,2,1,1,2,1,0,28,1700,1
119,3,1,2,1,5,1,0,32,1500,0
120,3,2,7,1,5,0,0,29,1800,0
121,3,3,1,1,6,1,0,31,1800,1
122,3,1,1,1,3,1,0,32,1800,0
123,3,1,1,1,5,3,0,54,1400,1
124,3,1,1,1,2,1,0,37,1701,1
125,3,2,1,1,5,1,0,29,1800,1
126,3,1,2,1,5,1,0,31,1500,0
127,3,2,2,1,4,1,0,50,1800,1
128,3,1,2,1,2,0,0,64,1760,0
129,3,2,1,1,4,1,0,25,1500,1
130,3,0,0,1,0,0,0,26,1800,0
131,3,2,3,1,3,1,0,42,1900,1
132,3,1,1,1,3,1,0,31,1965,1
133,3,2,1,1,5,1,0,44,1500,1
134,3,2,1,1,5,1,0,28,1500,1
135,3,1,1,1,2,1,0,52,1800,1
136,3,2,1,1,2,1,0,31,1600,1
137,3,2,1,1,3,1,0,26,1700,1
138,3,2,1,1,5,1,0,29,1700,1
139,3,1,2,1,3,1,0,27,2141,1
140,3,2,2,1,3,1,0,54,2300,1
141,3,2,1,1,3,1,0,34,1600,0
142,3,2,2,1,3,1,0,47,2150,0
143,3,2,1,1,6,1,0,35,1700,1
145,3,1,1,1,3,1,0,32,1650,0
146,3,2,1,1,2,0,0,44,2000,0
147,3,1,1,1,5,1,0,30,1731,1
148,3,1,2,1,5,0,0,39,2000,0
149,3,3,3,1,5,1,0,42,1909,1
150,3,1,1,1,5,1,0,24,1721,1
151,3,2,2,1,2,1,0,50,1600,0
152,3,2,1,1,0,1,0,40,2000,0
153,3,1,1,1,3,0,0,29,1700,0
154,3,1,2,1,5,1,0,25,2024,0
155,3,3,1,1,5,1,0,26,1500,1
156,3,1,1,1,0,0,0,33,1900,0
157,3,1,1,1,4,1,0,26,1700,1
158,3,2,2,1,2,0,0,43,1550,1
160,3,1,1,1,2,0,0,25,1600,1
161,3,2,1,1,4,1,0,27,1500,1
162,3,1,1,1,3,1,0,31,1600,0
163,3,1,2,1,3,0,0,61,1106,0
164,3,1,1,1,5,3,0,26,1574,1
165,3,2,1,1,5,1,0,27,1700,1
166,3,2,1,1,2,1,0,28,1800,1
167,3,3,2,1,5,1,0,28,1800,0
168,3,3,1,1,5,1,0,27,1567,1
169,3,2,1,1,4,1,0,27,1816,1
170,3,2,1,1,5,0,0,25,2100,0
171,3,2,1,1,5,1,0,23,1600,1
172,3,3,2,1,3,1,0,41,1783,1
173,3,2,1,1,3,1,0,30,1500,1
175,3,1,1,1,5,0,0,24,1458,0
176,3,2,1,1,5,1,0,22,1400,1
177,3,1,1,1,2,0,0,34,1600,0
178,3,2,2,1,2,1,0,23,1815,1
179,3,3,1,1,5,1,0,37,1800,1
180,3,2,2,1,3,1,0,25,1700,1
181,3,2,2,1,2,1,0,41,1800,1
182,3,2,4,1,5,1,0,45,2000,1
183,3,3,1,1,2,1,0,30,1838,0
184,3,3,1,1,3,1,0,34,1787,1
185,3,2,3,1,4,1,0,32,1600,1
186,3,2,1,1,2,1,0,32,2000,1
187,3,1,1,1,5,0,0,25,1700,0
188,3,1,1,1,2,0,0,26,835,0
189,3,2,7,1,3,1,0,35,1700,0
190,3,1,1,1,5,1,0,48,2000,1
191,3,2,2,1,3,1,0,37,1800,1
192,3,1,2,1,5,0,0,35,1600,1
193,3,1,2,1,5,0,0,26,1576,0
194,3,2,1,1,2,1,0,32,1500,1
195,3,2,1,1,5,1,1607,24,1900,0
196,3,2,1,1,0,0,0,23,1400,0
197,3,1,1,1,5,1,0,31,1442,1
198,3,3,1,1,2,1,0,23,1500,0
199,3,1,3,1,7,1,0,44,1916,0
200,3,3,3,1,5,1,0,35,1800,0
201,3,2,1,1,2,1,0,31,1800,1
202,3,3,2,1,0,1,0,34,1500,0
203,3,1,1,1,2,1,0,35,1296,0
204,3,3,1,1,3,1,0,25,1793,1
205,3,3,1,1,5,1,0,32,1529,1
206,3,2,1,1,5,1,0,25,1700,1
207,3,2,1,1,5,0,0,26,1000,1
208,3,1,1,1,5,1,0,29,1600,1
209,3,2,2,1,2,1,0,29,1500,1
210,3,3,1,1,2,1,0,33,1792,1
211,3,1,2,1,3,3,0,26,1700,0
212,3,1,2,1,2,1,0,23,1720,1
213,3,2,1,1,2,1,0,43,1576,1
214,3,2,1,1,4,1,0,30,1400,1
215,3,2,1,1,5,1,0,26,1600,1
216,3,1,1,1,3,1,0,25,1700,1
217,6,1,1,1,6,2,0,29,1734,1
218,2,0,0,1,0,0,0,33,1400,0
221,2,3,1,1,5,1,0,32,1800,0
224,2,2,1,1,2,1,0,38,1800,1
226,2,2,7,1,0,0,0,32,1800,0
234,2,0,7,1,0,1,0,43,1800,0
236,2,3,5,1,4,1,0,50,1487,1
240,2,2,3,1,5,1,0,48,1680,1
242,2,2,1,1,5,1,0,27,1600,1
244,2,2,1,1,4,1,0,51,1650,1
253,2,2,1,1,5,1,0,24,1710,1
275,2,3,2,1,6,0,0,42,1800,0
276,2,3,2,1,4,1,0,30,1600,1
293,2,1,1,1,3,1,0,32,1800,0
295,2,3,2,1,4,1,0,24,1600,1
307,2,2,1,1,5,1,0,34,1800,1
310,2,3,7,1,5,1,0,24,1594,1
316,2,3,2,1,5,1,0,23,1687,1
320,2,2,1,1,2,1,0,28,1750,1
